Food,Calories,Calories from Fat,Tot. Fat,%DV,Tot. Carb,%DV,Sat. Fat,%DV,Dietary Fiber,%DV,Trans Fat,%DV,Sugars,%DV,Cholesterol,%DV,Protein,%DV,Sodium,%DV,Allergens
F1 ,197,5,Total Fat 0.5g,1,Tot. Carb. 48.2g,,Sat. Fat 0.1g,0%,Dietary Fiber 8.6g,29,Trans Fat 0g,,Sugars 32.3g,25,Cholesterol 0mg,,Protein 2.7g,,Sodium 2553.7mg,111,
V2 ,349,196,Total Fat 21.7g,57,Tot. Carb. 29.6g,,Sat. Fat 2.2g,11%,Dietary Fiber 6.8g,23,Trans Fat 0g,,Sugars 9.7g,7,Cholesterol 0mg,,Protein 13.3g,,Sodium 503.2mg,22,Sesame
Barramundi Bibimbap Rice Bowl ,561,204,Total Fat 22.6g,60,Tot. Carb. 59.9g,,Sat. Fat 3.4g,17%,Dietary Fiber 1.9g,6,Trans Fat 0g,,Sugars 19.6g,15,Cholesterol 43.7mg,,Protein 26g,,Sodium 1222.4mg,53,"Fish, Wheat, Soybeans, Gluten, Sesame"
Chicken Fried Rice Bowl ,593,216,Total Fat 23.9g,63,Tot. Carb. 56.6g,,Sat. Fat 4.3g,21%,Dietary Fiber 6.5g,22,Trans Fat 0g,,Sugars 7g,5,Cholesterol 113.6mg,,Protein 33.2g,,Sodium 612.2mg,27,"Fish, Sesame"
Korean Pork Yum Yum Bowl ,833,306,Total Fat 33.9g,89,Tot. Carb. 84.4g,,Sat. Fat 6.3g,31%,Dietary Fiber 6.5g,22,Trans Fat 0.1g,,Sugars 24.8g,19,Cholesterol 244.1mg,,Protein 44.1g,,Sodium 1102.6mg,48,"Eggs, Soybeans, Sesame"
Mapo Tofu Noodle Bowl ,555,290,Total Fat 32.1g,85,Tot. Carb. 48.2g,,Sat. Fat 4.3g,22%,Dietary Fiber 6.1g,20,Trans Fat 0g,,Sugars 7.1g,5,Cholesterol 0mg,,Protein 17.4g,,Sodium 594.3mg,26,"Wheat, Soybeans, Gluten, Sesame"
Hawaiian Poke Bowl ,565,203,Total Fat 22.5g,59,Tot. Carb. 59.7g,,Sat. Fat 3.3g,16%,Dietary Fiber 4.6g,15,Trans Fat 0g,,Sugars 4g,3,Cholesterol 40.8mg,,Protein 30.7g,,Sodium 1594.5mg,69,"Fish, Soybeans, Sesame"
Hawaiian Spicy Poke Bowl ,545,172,Total Fat 19.1g,50,Tot. Carb. 60.5g,,Sat. Fat 3.5g,18%,Dietary Fiber 1.5g,5,Trans Fat 0g,,Sugars 7.4g,6,Cholesterol 60.3mg,,Protein 31.3g,,Sodium 800.2mg,35,"Fish, Soybeans, Sesame"
Pickled Bean Sprouts ,68,43,Total Fat 4.8g,13,Tot. Carb. 4.1g,,Sat. Fat 0.6g,3%,Dietary Fiber 1g,3,Trans Fat 0g,,Sugars 2.6g,2,Cholesterol 0mg,,Protein 1.4g,,Sodium 149.2mg,6,Sesame
Pickled Cucumbers ,56,0,Total Fat 0g,0,Tot. Carb. 13.6g,,Sat. Fat 0g,0%,Dietary Fiber 0.3g,1,Trans Fat 0g,,Sugars 13.2g,10,Cholesterol 0mg,,Protein 0.3g,,Sodium 128.1mg,6,
Wakame Salad ,23,4,Total Fat 0.4g,1,Tot. Carb. 3.5g,,Sat. Fat 0g,0%,Dietary Fiber 0.1g,0,Trans Fat 0g,,Sugars 2.5g,2,Cholesterol 0mg,,Protein 0.6g,,Sodium 450mg,20,"Soybeans, Sesame"
